lead_id,created,status,owner,lead_score,notes,phone,legacy_field,source,deal_amount
,Jan 1 2023,lost,ktan,,,no phone,,cold call,39707.55
,,,,,,(02) 8028 0030,,expo,59779.19
L0002,unknown,,,38,CALL BACK,,,,
L0000,2023-03-06,won,,,,,,cold call,
L0013,Jan 2 2023,,,,,no phone,,,
L0004,Feb 9 2023,won,,21,"follow up, ref 0004",0917-004-0010,,expo,
,3/11/2023,lost,,37,,+639170000005,,cold call,41302.86
L0006,,lost,,40,"sent ""quote"" v2",no phone,,cold call,
L0007,0000-00-00,won,,,,,,referral,21183.16
L0012,3/19/2023,lost,,35,no answer,,,,
L0011,3/22/2023,lost,ktan,,"follow up, ref 0009",+639170000009,,cold call,46758.47
L0010,2024-13-45,won,,,"sent ""quote"" v2",,,,
L0011,3/27/2023,contacted,aviñas,38,"follow up, ref 0011",+639170000011,,cold call,
L0012,Feb 30 2023,new,aviñas,,,0917-012-0018,,,
L0013,Jan 2 2023,,,,,no phone,,,
L0031,2024-13-45,,,19,CALL BACK,,,referral,34381.06
,4/7/2023,,,,,+639170000015,,expo,60817.79
L0016,Apr 10 2023,won,,,"follow up, ref 0016",0917-016-0022,,webform,56303.58
L0023,9/8/2024,,,,,0917-198-0204,,,
L0017,2023-04-12,contacted,,,,,,,
L0042,4/15/2023,lost,,,,(02) 8018 0020,,referral,
,30/6/2024,,,,,0917-183-0189,,,
L0042,2023-04-18,new,,48,,0917-019-0025,,,
L0041,20/4/2023,qualified,,,"follow up, ref 0020",,,referral,
L0168,n/a,qualified,,,,no phone,,cold call,
L0021,23/4/2023,qualified,,41,,no phone,,,
L0022,2024-13-45,contacted,jdelacruz,37,,,,,12780.49
,Jan 11 2024,,ktan,21,"follow up, ref 0153",0917-153-0159,,,
L0023,28/4/2023,contacted,jdelacruz,1488,"sent ""quote"" v2",(02) 8023 0025,,,
L0010,1/5/2023,,mreyes,2344,"sent ""quote"" v2",no phone,,webform,
L0033,Apr 1 2024,new,,33,wrong number,+639170000138,,webform,
,0000-00-00,lost,,39,,,,,
L0026,5/6/2023,,,,,+639170000026,,,
L0123,21/1/2024,contacted,,22,,no phone,,referral,
L0027,5/9/2023,qualified,ktan,30,no answer,(02) 8027 0029,,,49435.04
,,,,,,(02) 8028 0030,,expo,59779.19
L0108,Apr 12 2023,qualified,,16,,no phone,,,23718.81
L0019,5/15/2023,qualified,mreyes,,"sent ""quote"" v2",,,,
L0030,Apr 17 2023,qualified,ktan,16,,(02) 8030 0032,,webform,
,11/2/2023,qualified,,49,,+639170000093,,,
L0031,5/20/2023,lost,,47,,,,,19586.88
L0028,2024-13-45,,,19,,,,cold call,
L0078,23/9/2023,,,,,no phone,,,
L0033,25/5/2023,contacted,,34,,+639170000033,,,
L0035,0000-00-00,lost,,18,"follow up, ref 0034",no phone,,,
,8/14/2023,new,,1411,"follow up, ref 0063",(02) 8063 0065,,,
L0035,Apr 31 2023,won,aviñas,,,no phone,,cold call,
L0036,2/6/2023,,jdelacruz,24,"follow up, ref 0036",0917-036-0042,,,
L0037,unknown,,ktan,47,,(02) 8048 0050,,cold call,
,6/5/2023,contacted,,,"follow up, ref 0037",,,,
,2023-06-08,,,20,,no phone,,webform,18737.92
L0033,25/5/2023,contacted,,34,,+639170000033,,,
,2023-06-10,won,,2295,,0917-039-0045,,referral,
L0051,2023-06-13,qualified,,,"follow up, ref 0040",0917-040-0046,,webform,20263.75
L0042,4/15/2023,lost,,,,(02) 8018 0020,,referral,
L0031,2023-06-16,,,,,+639170000041,,referral,
L0028,2024-13-45,qualified,,26,"sent ""quote"" v2",0917-042-0048,,,10677.31
L0000,2023-03-06,won,,,,,,cold call,
L0007,21/6/2023,,jdelacruz,20,"follow up, ref 0043",,,expo,41239.46
,Mar 24 2023,won,,,"follow up, ref 0044",+639170000044,,cold call,52142.94
,,lost,,2376,,+639170000045,,referral,3736577.14
L0046,unknown,lost,,1575,,+639170000046,,,
L0047,2/7/2023,,aviñas,,,0917-047-0053,,referral,
L0037,unknown,,ktan,47,,(02) 8048 0050,,cold call,
L0034,7/7/2023,,,,,,,cold call,
L0050,2023-07-10,qualified,,,,(02) 8050 0052,,expo,
,2024-13-45,lost,,30,wrong number,(02) 8051 0053,,webform,51066.88
L0037,,contacted,ktan,,,,,,4072556.64
L0053,7/18/2023,new,jdelacruz,11,"follow up, ref 0053",,,webform,
L0023,9/8/2024,,,,,0917-198-0204,,,
L0019,20/7/2023,won,mreyes,,CALL BACK,,,webform,
L0055,23/7/2023,,,,,no phone,,,
,30/6/2024,,,,,0917-183-0189,,,
L0056,26/7/2023,contacted,,28,"follow up, ref 0056",no phone,,,48862.95
,unknown,won,ktan,,,+639170000057,,cold call,8010.36
L0168,n/a,qualified,,,,no phone,,cold call,
,2023-07-31,,,35,no answer,0917-058-0064,,cold call,
,n/a,contacted,,,wrong number,,,,39287.49
,Jan 11 2024,,ktan,21,"follow up, ref 0153",0917-153-0159,,,
,8/6/2023,,,46,,,,webform,42712.24
,n/a,contacted,,,,+639170000061,,expo,
L0033,Apr 1 2024,new,,33,wrong number,+639170000138,,webform,
L0058,2024-13-45,,,,,0917-062-0068,,,
,8/14/2023,new,,1411,"follow up, ref 0063",(02) 8063 0065,,,
L0123,21/1/2024,contacted,,22,,no phone,,referral,
L0051,8/16/2023,new,,,,+639170000064,,,9657.52
L0050,Feb 19 2023,contacted,jdelacruz,,,,,webform,46410.46
L0108,Apr 12 2023,qualified,,16,,no phone,,,23718.81
L0031,Feb 22 2023,,aviñas,23,wrong number,(02) 8066 0068,,cold call,6652.78
L0067,24/8/2023,qualified,,,,0917-067-0073,,cold call,18746.89
,11/2/2023,qualified,,49,,+639170000093,,,
,Feb 27 2023,qualified,,,,,,expo,46021.74
L0069,,,jdelacruz,24,,,,webform,60678.6
