order_id,order_date,shipped_at,city,product_category,payment_method,quantity,unit_price,revenue,discount_pct,customer_rating,delivery_notes,tracking_ref,customer_ref
ORD-00001,2024-01-01,,Iloilo City,Beauty,GCash,3,818.45,pending,58.4,4,,,+63 917 000 0001
ORD-00002,2024-01-01,2024-01-04T17:41:00+08:00,Muntinlupa,Sports,Bank Transfer,9,3254.36,26717.51,8.1,,,,WALK-IN
ORD-00003,2024-01-02,2024-01-04T13:31:00+08:00,Las Piñas,Sports,Cash on Delivery,1,541.56,433.82,19.4,4,Barangay hall pickup,,
ORD-00004,2024-01-03,2024-01-08T10:20:00+08:00,Quezon City,Groceries,Cash on Delivery,3,878.37,2536.62,,,Barangay hall pickup,trk00004,CUST-0004
,2024-04-12,2024-04-17T10:18:00+08:00,Quezon City,Home & Kitchen,GCash,5,547.31,,8.6,1,Attempt #0110 — rider note D155,PH-00110-X,cust.0110@mail.test
ORD-00005,2024-01-04,2024-01-07T17:21:00+08:00,Baguio,Beauty,Credit Card,11,629.08,6746.73,5.2,5,,,WALK-IN
,2024-07-17,2024-07-22T12:50:00+08:00,Parañaque,Apparel,Bank Transfer,6,588.41,3083.68,,,,PENDING-ASSIGN,cust.0212@mail.test
ORD-00006,2024-01-05,2024-01-09T12:24:00+08:00,Cagayan de Oro,Beauty,Credit Card,10,931.51,8781.29,5.5,,,trk00006,
,2024-10-22,,Dasmariñas,Sports,Cash on Delivery,1,458.93,401.3,11.3,,Attempt #0314 — rider note A236,trk00314,CUST-0314
ORD-00007,2024-01-06,2024-01-07T06:50:00+08:00,Quezon City,Toys,Maya,4,555.85,2115.81,2.6,5,,trk00007,+63 917 000 0007
,2024-01-07,2024-01-11T18:22:00Z,Baguio,Electronics,GCash,5,349.5,1643.13,,2,,PENDING-ASSIGN,+63 917 000 0008
ORD-00009,2024-01-08,,Muntinlupa,Apparel,Maya,180,816.56,131667.43,10.4,1,,,+63 917 000 0009
ORD-00010,2024-01-09,2024-01-13T18:09:00+08:00,Cagayan de Oro,Sports,Cash on Delivery,12,4390.24,42558.19,19.9,4,Attempt #0010 — rider note D437,PH-00010-X,CUST-0010
ORD-00011,2024-01-10,,Baguio,Apparel,Bank Transfer,4,563.58,2014.67,8,3,,TRK-2024-00011,WALK-IN
ORD-00012,,,Cagayan de Oro,Groceries,GCash,5,449.18,1951.16,15.3,,Attempt #0012 — rider note B883,trk00012,
